Judul,Abstrak,Tanggal,Author,Jurnal,cluster
IMPLEMENTASI APLIKASI SIG DALAM PENGOLAHAN DATA JUMLAH PENDUDUK BERBASIS WEB,duduk bal duduk sulitmengetahui jumlah duduk daerah badan pusat statistik merupakanbadan tugas untuk catat jumlah duduk daerah salah satuupaya untuk beri informasi masyarakat jumlah pendudukyang provinsi bal aplikasi memberikaninformasi masyarakat teliti rancang aplikasi berbasib web menggunakangoogle maps api saran untuk aplikasi teliti guna bahasapemrograman php mysql aplikasi dapat operasi sesuai tuju yaituuntuk tahu jumlah duduk tiap kabupaten camat di provinsibali,Publish Date 01 Nov 2012,"Pramartha, I Made Andi",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,3
IMPLEMENTASI VECTOR SPACE MODEL DAN BEBERAPA NOTASI METODE TERM FREQUENCY INVERSE DOCUMENT FREQUENCY (TF-IDF) PADA SISTEM TEMU KEMBALI INFORMASI,sistem temu kembali informasi rupa sistem guna untuk temu informasi relevan butuh guna cara otomatis dasar sesuai query koleksi informasi teliti tuju untuk kenal karakteristik notasi bobot tf-idf implementasi model ruang vektor guna notasi metode bobot tf-idf sistem temu kembali informasi notasi tf-idf guna teliti anc ntc lnc ltc ltc ltc model ruang vektor bobot term laku sisi dokumen query bobot hasil algoritma tf-idf jadi variabel hitung cosine similarity hasil cosine similarity masing-masing dokumen hadap query urut cara descending hasil cari tampil dokumen kata kunci sistem kembang guna bahasa pemrograman php dokumen guna data uji 50 artikel berita tulis kutip situs internet teliti hasil implementasi vector space model tiga notasi bobot tf-idf hasil teliti tunjuk notasi bobot tf-idf milik karekteristik beda hasil urut dokumen relevan beda notasi satu notasi,Publish Date 13 Aug 2012,"Karmayasa, Oka",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,11
Pengembangan Front End Aplikasi Keluhan Pelanggan PDAM Tirta Amertha Jati Kabupaten Jembrana,pdam tirta amertha jati pdam jembrana rupa badan usaha milik perintah kabupaten jembrana beri layan masyarakat penuh butuh pokok masyarakat air sistem sedia pdam jembrana laku cara manual bayar laku online pdam jembrana keluh jadi perlu aplikasi untuk atas keluh langgan cara online aplikasi keluh langgan pdam jembrana terap metode extreme programming xp fokus front end tampil aplikasi uji laku guna black box hasil terap metode sebut cipta aplikasi keluh langgan dapat bantu pdam atas keluh langgan kata kunci front end extreme programming xp black box,Publish Date 14 Nov 2018,"Mahayasa, I Gusti Ngurah","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",3
ANALISA DAN PERANCANGAN SISTEM INFORMASI SURVEI IDUSTRI BESAR DAN SEDANG (IBS) BULANAN BADAN PUSAT STATISTIK (BPS) PROVINSI BALI,badan pusat statistik bps lembaga perintah non menteri tanggung jawab langsung presiden bps laksana tugas sedia data guna teknologi komputer sistem untuk mudah proses olah data sistem terap bps sesuai kembang teknologi informasi acu butuh laksana tugas olah data laku badan pusat statistik provinsi bal efisien data hasil survei catat periksa cara manual laku entri data database dasar masalah sebut analisis ancang sistem survei rutin laku badan pusat statistk survei industri besar ibs bulan sistem catat olah data jenis barang hasil usaha manufaktur bulan cara langsung proses olah data jadi efisien metode uji laku guna metode uji blackbox,Publish Date 14 Nov 2018,"Dewantara, Aditya Riady","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",11
PENGEMBANGAN WEBSITE MENGGUNAKAN FRAMEWORK CODEIGNITER SEBAGAI PENUNJANG SISTEM SMS GATEWAY DI IPHONE BALI,tuntut informasi cara cepat tepat waktu sedia jasa jual baik reparasi telepon genggam sale and service handphone tingkat layan utama promosi produk baru informasi selesa proses service untuk wujud sebut tulis laku teliti usaha nama iphone bal kembang sms gateway aplikasi tambah sistem ubah database sistem nomor telepon database kelompok dasar kelompok mudah kirim sms kelompok buku telepon sistem jalan interface website guna framework codeigniter terap sistem,Publish Date 13 Aug 2012,"Wibisono, Septian Bagus",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 1 - Agustus 2012,14
PERANCANGAN DAN IMPLEMENTASI WAREHOUSE MANAGEMENT SYSTEM DI PT. PERTAMINA DPPU NGURAH RAI,era globalisasi tuntut untuk kerja secaracepat tepat praktis masuk instansi usaha menginginkanproses catat olah data cara cepat kecuali pt pertamninadppu ngurah rai untuk perlu sistem catat olah datadengan praktis mudah operasi butuh tenaga kerja warehouse management system rupa software rancang untuk mendukungmanajemen gudang guna untuk kelola kendali proses yangterjadi supply chain ancang warehouse management system mulai dariperancangan sistem ancang muka hasil ancang dituangkandalam bahasa pemrograman php hasil tunjuk sistem sudah beroperasisesuai tuju dapat cepat lead time proses proses yangterjadi catat data barang catat data transaksi hitung jumlahbarang cetak lapor laku cara komputerisasi,Publish Date 01 Nov 2012,"Fauzi, Andy Bastian",JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Volume 1 No 2 - Nopember 2012,11
Cover & Table of Content JELIKU Vol. 8 No. 4,,Publish Date 24 May 2020,"Dwidasmara, Ida Bagus Gede","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 8 No 4 (2020): JELIKU Volume 8 No 4, Mei 2020",1
Editorial Boards & Contents,,Publish Date 27 Feb 2019,"Vida Mastrika Giri, Gst Ayu","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 3 (2019): JELIKU Volume 7 No 3, Februari 2019",1
Pengembangan Aplikasi Front-End dan Back-End CHEPI (Checklist Peralatan I Gusti Ngurah Rai) Berbasis Mobile,pt persero angkasa pura i conducts management exploitation development and utilization of airports and surrounding areas in a good and innovative manner so that optimal utilization is achieved and results can be used to grow the company which ultimately contributes to the benefits of the state and development national making a chepi application based on mobile because it does not have its own application to scan qr code and still use the scan qr code feature from the line application when checking items that make technicians trouble in checking because it uses a web-based chepi that does not have a qr scan feature code the chepi application uses the android studio java and php programming languages to build mobile-based applications and utilize mysql databases the development of back-end from the chepi application will include analysis of system requirements system design with use case diagrams class diagrams entity-relationship diagrams erd and also the implementation of features with this chepu application it is expected to be able to assist in the process of checking goods at each department,Publish Date 14 Nov 2018,"Mastrika, Vida","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",0
Editorial Boards & Contents,,Publish Date 14 Nov 2018,"Ramadhana Nasution, Aulia","JELIKU (Jurnal Elektronik Ilmu Komputer Udayana) Vol 7 No 2 (2018): JELIKU Volume 7 No 2, 2018",1
